name,spearman,spearman_abs,mi_reg,mi_clf,rf_reg,rf_clf,rank_spearman_abs,rank_mi_reg,rank_mi_clf,rank_rf_reg,rank_rf_clf,consensus_score
tc,-0.03521366200089205,0.03521366200089205,0.0,0.16182910156619634,0.11717357205238241,0.39675605014610754,2,7,3,4,1,33
tg,-0.0157614110431769,0.0157614110431769,0.0,0.1803066398621933,0.11545792850207212,0.3876014783608818,6,6,1,5,2,30
bmi,-0.02202513215730273,0.02202513215730273,0.0636689520078173,0.0,0.13855033065291927,0.004431608125459824,3,1,9,1,7,29
hdl,0.01389841673447479,0.01389841673447479,0.0,0.052926837338650445,0.120417136089407,0.03109811110985558,7,5,4,3,5,26
adl_total,-0.053203517473315774,0.053203517473315774,0.009474834883076433,0.0,0.08479416963589201,0.003109508339836923,1,2,7,8,9,23
ldl,0.009876766064914007,0.009876766064914007,0.0,0.0416791861202821,0.11058298488416389,0.04759850003440107,8,4,5,6,4,23
glucose,-0.02045921551122343,0.02045921551122343,0.0,0.0,0.12431186124563604,0.004827292509805865,5,8,8,2,6,21
iadl_total,0.02047622118278401,0.02047622118278401,0.0,0.0006664396153968077,0.08406586860864779,0.0037574884661910955,4,3,6,9,8,20
uric_acid,-0.009622006575595235,0.009622006575595235,0.0,0.17932023712522183,0.10464614832887935,0.12081996290746025,9,9,2,7,3,20
