age_group,intensity,frequency,patient_count,mean_cost,mean_drop_ratio
1,1,7,39,725.025641025641,0.11420000000000001
1,1,8,10,1006.0,0.167
1,1,10,5,1050.0,0.2649
1,1,9,1,1078.0,0.2172
2,1,7,44,768.0909090909091,0.1142
2,1,10,6,1050.0,0.2649
2,1,8,2,1006.0,0.167
2,1,9,2,1078.0,0.2172
3,1,7,41,748.6341463414634,0.1142
3,1,10,8,1050.0,0.2649
3,1,8,5,1006.0,0.167
3,1,9,2,1078.0,0.2172
4,1,7,51,773.2156862745098,0.11419999999999998
4,1,10,5,1050.0,0.2649
4,1,9,3,1078.0,0.21719999999999998
4,1,8,1,1006.0,0.167
5,1,7,40,759.0,0.1142
5,1,8,6,1006.0,0.167
5,1,10,6,1050.0,0.2649
5,1,9,1,1078.0,0.2172
